employee_id,name,joining_date,department,salary
40,Meera,2022-15-03,finance,50000.0
303,Rakesh,07-May-2020,finance,50000.0
388,Kiran,2019-12-19,HR,50000.0
157,Anita,08-28-2018,HR,
317,Sunil,2020-07-09,it,50000.0
333,Kiran,11/07/2019,I.T,
345,Meera,16-Mar-2022,HR,
190,Arun,07-24-2021,Hr,
283,Kiran,14/08/2020,FInance,50000.0
76,Divya,2022/06/21,Finance,60000.0
58,nan,19-Mar-2019,Hr,-20000.0
385,Divya,05-11-2020,FInance,50000.0
221,Sunil,2020-10-29,it dept,750000.0
217,Sunil,2019/07/08,finance,750000.0
239,Meera,2023/11/26,Hr,-20000.0
244,Divya,09-03-2023,Hr,70000.0
373,Anita,2021-18-05,Finance,750000.0
143,Arun,08-28-2023,IT,70000.0
154,Kiran,06-Dec-2018,Hr,50000.0
304,nan,2021/02/24,Finance,70000.0
206,Rakesh,13-Aug-2023,finance,45000.0
41,Anita,15-May-2023,HR,100000.0
28,Sunil,01-19-2019,HR,-20000.0
21,Anita,10-28-2019,finance,100000.0
98,Meera,2019-04-03,IT,50000.0
40,Meera,2022/02/02,finance,70000.0
361,Divya,2018-08-22,Hr,60000.0
187,Rahul,06-22-2019,I.T,60000.0
99,Divya,20/01/2023,Hr,50000.0
379,Anita,06/06/2022,FInance,-20000.0
120,Arun,2023-06-14,IT,45000.0
324,Rakesh,2023/12/13,IT,750000.0
18,Meera,16-Apr-2020,HR,100000.0
106,Rahul,2021-21-07,IT,70000.0
31,Arun,2019/07/15,finance,45000.0
35,Divya,2018-16-06,finance,750000.0
306,Kiran,04-06-2020,FInance,-20000.0
224,Rahul,2022-04-19,it dept,-20000.0
312,Kiran,2019-04-11,finance,70000.0
277,Kiran,2023-04-17,it dept,60000.0
26,nan,08-05-2023,Finance,45000.0
143,Divya,2022-09-23,IT,70000.0
76,Rahul,11-Nov-2020,FInance,70000.0
271,nan,08-16-2023,Hr,50000.0
262,Divya,2019/10/08,finance,45000.0
361,Meera,07-14-2020,I.T,-20000.0
246,Arun,2019-08-19,FInance,
232,Arun,2020/09/06,it dept,750000.0
123,Divya,2022-06-11,IT,60000.0
245,Kiran,02-Jun-2023,Finance,45000.0
316,Rakesh,2020-15-12,it dept,50000.0
349,nan,2023-06-01,FInance,60000.0
123,Arun,16-Jul-2019,it dept,750000.0
353,nan,2020/03/24,IT,60000.0
201,Rahul,05-20-2022,HR,70000.0
29,Anita,2020/07/18,FInance,-20000.0
194,Arun,2022-27-02,it dept,60000.0
203,Anita,07-18-2022,it dept,100000.0
172,Rahul,13/09/2022,Hr,45000.0
341,Divya,26-Mar-2022,IT,45000.0
25,Kiran,2021/08/26,finance,-20000.0
45,Rahul,05-Oct-2021,FInance,-20000.0
31,Meera,15-Jul-2020,Finance,750000.0
323,Meera,2020-03-14,Finance,100000.0
161,Rakesh,2023/02/27,it dept,60000.0
296,Sunil,28-Mar-2020,finance,45000.0
197,Kiran,30/01/2021,HR,50000.0
268,nan,2022-27-11,I.T,750000.0
238,nan,2023-07-29,Hr,750000.0
96,Arun,23-Mar-2018,I.T,70000.0
18,Sunil,10/02/2020,FInance,100000.0
290,nan,01-09-2018,I.T,100000.0
275,Meera,2023-06-12,FInance,100000.0
173,Sunil,25/10/2019,IT,
245,Arun,07-Nov-2021,I.T,-20000.0
255,Kiran,14/05/2018,IT,-20000.0
7,Kiran,07-25-2022,FInance,45000.0
21,Divya,03-25-2023,Hr,750000.0
284,Kiran,2018-30-10,finance,
58,Rahul,2019-06-03,I.T,750000.0
50,Rakesh,26/12/2021,it,-20000.0
9,Arun,06-07-2021,HR,100000.0
178,Rakesh,21/11/2023,I.T,50000.0
208,nan,2022-03-21,it,750000.0
289,Meera,09/10/2021,I.T,70000.0
173,Sunil,18-Jul-2020,FInance,750000.0
180,Sunil,2019-18-11,IT,50000.0
243,Kiran,21-Aug-2020,HR,45000.0
99,Meera,11-Nov-2019,I.T,
261,Rakesh,2020/04/30,it,100000.0
381,Rahul,2019-09-22,finance,50000.0
36,Sunil,06/04/2021,finance,750000.0
106,Anita,19-Mar-2019,Hr,-20000.0
262,Anita,2023-08-05,it,50000.0
160,Rakesh,01/12/2018,HR,60000.0
271,Sunil,23-Aug-2020,it dept,50000.0
102,Arun,18/01/2021,it dept,100000.0
44,Divya,2020-09-08,finance,70000.0
175,nan,27/08/2021,IT,60000.0
287,Anita,03-Sep-2021,FInance,60000.0
218,Divya,03-26-2018,HR,
258,nan,2023-22-09,finance,70000.0
291,Arun,24-Nov-2023,I.T,
135,Anita,2020-27-06,Finance,
214,Kiran,27-Jan-2018,it dept,70000.0
191,Arun,03/02/2018,IT,50000.0
313,Anita,2020-10-01,Hr,50000.0
158,Rahul,09/10/2019,IT,50000.0
367,nan,2023/05/14,Hr,750000.0
283,Divya,13-Jun-2022,IT,45000.0
39,Sunil,27-Aug-2019,it dept,50000.0
107,Kiran,2022/05/20,it dept,50000.0
74,Rahul,18-May-2019,finance,-20000.0
217,Anita,28-Jul-2019,it,-20000.0
308,Divya,28-Mar-2019,I.T,60000.0
338,Sunil,2021-03-02,FInance,70000.0
236,Rahul,01-01-2020,Finance,45000.0
223,Meera,07-22-2023,it,50000.0
55,Arun,2021-22-03,finance,100000.0
209,nan,2021/01/31,IT,70000.0
55,nan,2018/02/06,HR,45000.0
26,Arun,28/11/2023,finance,70000.0
233,Sunil,2021-09-09,I.T,60000.0
121,Divya,13/04/2023,finance,750000.0
180,Kiran,28-Jun-2018,finance,60000.0
388,Arun,2021/12/29,finance,70000.0
341,nan,08-Sep-2022,finance,45000.0
24,Anita,06-26-2022,I.T,-20000.0
42,Arun,01-30-2022,finance,-20000.0
319,Anita,09-27-2018,it dept,45000.0
120,Anita,12/03/2020,Hr,50000.0
28,Meera,24/09/2019,Finance,50000.0
212,Anita,02-05-2020,it,45000.0
330,Sunil,2018-08-21,IT,60000.0
32,Rakesh,28/02/2019,IT,750000.0
42,Arun,02-17-2023,Finance,45000.0
271,Anita,24-Jan-2021,Finance,60000.0
298,Rakesh,2021-13-05,it,100000.0
316,Arun,20/02/2020,finance,70000.0
318,Anita,03/03/2020,Finance,750000.0
95,Rahul,2018-04-08,finance,
376,Kiran,2020-28-08,Hr,50000.0
73,Kiran,2019/04/20,HR,750000.0
143,Divya,2023-13-05,IT,45000.0
79,Anita,10-25-2022,HR,60000.0
379,Sunil,06-11-2022,Finance,-20000.0
74,Rakesh,20/12/2023,IT,750000.0
314,nan,2018/01/07,IT,
46,Anita,06-24-2018,FInance,750000.0
333,Meera,12-12-2018,I.T,45000.0
353,nan,25/12/2022,FInance,70000.0
121,Rakesh,05-29-2022,I.T,
226,nan,11-07-2018,it dept,100000.0
262,nan,2022-03-05,finance,100000.0
325,Sunil,2023-12-05,IT,100000.0
134,Sunil,03-Sep-2019,finance,-20000.0
314,Rahul,2018-24-09,IT,100000.0
199,Sunil,2023-16-03,Finance,750000.0
130,Rakesh,2020-03-01,IT,750000.0
271,Arun,02-Oct-2021,HR,70000.0
290,nan,27/07/2020,FInance,70000.0
361,Divya,07-Sep-2019,Finance,50000.0
236,Sunil,2021-22-08,HR,
212,Rakesh,2020/02/05,FInance,
268,Sunil,2022-20-06,I.T,45000.0
41,Rahul,28-Apr-2023,it,70000.0
362,Meera,16/03/2019,it dept,70000.0
277,Anita,2021-02-11,Hr,750000.0
106,Anita,16-Jun-2019,HR,60000.0
352,Rakesh,2018-17-06,FInance,60000.0
213,Anita,2021-23-11,it dept,-20000.0
205,nan,2023/03/26,Hr,-20000.0
30,nan,20/07/2019,HR,-20000.0
287,nan,2018-13-08,IT,100000.0
67,Meera,04-Mar-2020,HR,750000.0
373,nan,2018-02-12,Hr,50000.0
314,Rakesh,07-28-2019,I.T,
145,Rakesh,2021-08-03,it dept,50000.0
303,nan,2022-02-11,finance,50000.0
358,Rakesh,02-Jun-2018,Finance,100000.0
87,Kiran,2019-02-14,it dept,70000.0
240,nan,10-01-2019,it,70000.0
228,Sunil,09/02/2021,HR,750000.0
159,Sunil,27-Jul-2022,Finance,
32,nan,2019-25-12,Finance,100000.0
36,Arun,2018/02/05,finance,100000.0
89,Meera,2023-17-09,Finance,-20000.0
208,Meera,2023-03-01,HR,60000.0
8,Meera,2023-04-27,IT,
256,Divya,16/01/2023,finance,750000.0
30,Sunil,12/11/2019,Finance,-20000.0
303,Kiran,29-Nov-2020,it dept,
307,Anita,2022-12-08,HR,-20000.0
222,Divya,2018-10-30,IT,100000.0
47,nan,08-27-2023,HR,-20000.0
237,Sunil,25/10/2019,it dept,60000.0
57,Arun,2022-06-10,Hr,
96,Sunil,26/04/2021,finance,70000.0
113,Rakesh,2023-02-26,I.T,70000.0
192,Meera,21-Jun-2023,FInance,100000.0
3,nan,18/04/2019,it,50000.0
376,Kiran,2022-08-24,I.T,70000.0
153,Rakesh,2018-12-05,IT,70000.0
73,Anita,2023-30-07,it,100000.0
312,Rakesh,03-10-2022,finance,750000.0
393,Arun,2022-28-07,Hr,750000.0
70,Anita,2023-07-23,Finance,50000.0
329,nan,05-30-2019,Finance,100000.0
351,Meera,15-Oct-2020,FInance,70000.0
287,Rakesh,2022-28-07,it dept,-20000.0
44,Rahul,03-Jan-2023,HR,45000.0
41,Kiran,26/09/2020,it dept,
153,Rakesh,30/07/2020,Finance,60000.0
343,Meera,12-21-2019,finance,
227,Divya,2023-02-27,Hr,100000.0
318,Kiran,2019-09-02,Hr,50000.0
246,Kiran,05/10/2018,Hr,60000.0
75,Rahul,29/04/2020,I.T,100000.0
263,Kiran,2021/06/23,it dept,750000.0
175,Kiran,2021-19-12,IT,50000.0
303,Meera,2019-03-10,finance,50000.0
304,Kiran,30-Jul-2021,FInance,70000.0
62,Sunil,2020-13-04,it,60000.0
166,Rakesh,2020-02-05,it dept,750000.0
302,Meera,2018/07/13,it dept,
391,Divya,2020-10-21,Hr,70000.0
349,Rahul,2022-11-06,Finance,750000.0
315,Anita,04/05/2020,it dept,45000.0
5,Anita,2018-06-03,FInance,
181,Rakesh,23-Jan-2021,Finance,
74,Rahul,11-28-2020,finance,60000.0
242,Kiran,2023-19-12,FInance,100000.0
147,Rahul,05/03/2021,Hr,45000.0
323,Arun,2022-15-04,FInance,
107,Arun,2021-02-01,FInance,70000.0
321,Rakesh,09-03-2023,finance,50000.0
76,nan,18/06/2023,I.T,100000.0
203,Anita,26-May-2018,Hr,750000.0
349,Rahul,14-May-2021,it dept,45000.0
253,Meera,10-16-2018,FInance,
186,Arun,07-26-2020,I.T,60000.0
321,Anita,2020-06-06,I.T,750000.0
36,Sunil,2019-04-19,IT,750000.0
210,Kiran,16-Jul-2019,it,-20000.0
71,Sunil,2020-10-30,HR,70000.0
57,Kiran,2021/02/13,Finance,100000.0
163,Sunil,01-Nov-2021,it dept,45000.0
19,Rahul,19/07/2023,Hr,
320,Arun,21-Apr-2019,I.T,100000.0
60,Anita,09/09/2019,finance,45000.0
77,Sunil,2018/07/23,it,750000.0
358,Rakesh,17-Oct-2019,it,70000.0
246,Arun,11-12-2020,IT,100000.0
397,Meera,2022/11/05,IT,50000.0
93,nan,03-May-2018,it dept,-20000.0
290,Divya,11-21-2020,IT,45000.0
280,Arun,02-26-2020,Finance,70000.0
97,Rakesh,2019/01/19,Hr,70000.0
182,Rahul,2018-16-02,FInance,45000.0
194,Arun,10/08/2021,IT,45000.0
197,nan,2021-04-09,IT,50000.0
310,Arun,10-Nov-2020,HR,-20000.0
109,Arun,06-24-2021,FInance,-20000.0
282,Rakesh,2023-18-05,it dept,100000.0
388,nan,2022/06/10,I.T,50000.0
385,Sunil,03-16-2020,Hr,45000.0
284,Rahul,05-06-2019,Finance,50000.0
144,Kiran,2021-04-05,I.T,
197,Rakesh,2020-27-11,I.T,750000.0
31,Sunil,2019-05-26,FInance,100000.0
296,Rahul,11-30-2018,finance,-20000.0
267,Rakesh,2020-17-08,finance,50000.0
306,Meera,01-27-2019,IT,750000.0
306,Rahul,25/04/2022,IT,
333,Kiran,19/03/2018,HR,60000.0
96,Meera,2022/10/10,Hr,750000.0
117,Anita,2020-08-28,HR,45000.0
365,Rahul,2022-08-10,finance,45000.0
223,Rakesh,2023-15-07,Finance,750000.0
209,nan,2021/05/05,it,100000.0
238,nan,2018-25-06,Hr,60000.0
35,Rahul,18/10/2022,HR,750000.0
31,Rakesh,2018/03/26,I.T,50000.0
217,Meera,08/07/2019,Hr,70000.0
301,Divya,12-10-2022,Hr,100000.0
304,Anita,2020-03-18,FInance,70000.0
9,Arun,11-01-2019,HR,45000.0
170,nan,2022-05-08,Hr,-20000.0
369,nan,2023-21-01,Finance,750000.0
36,nan,30/05/2022,HR,-20000.0
187,Divya,08/10/2022,finance,100000.0
316,nan,2023/02/11,finance,
160,Rahul,2022/03/12,HR,750000.0
302,Meera,08-May-2022,IT,70000.0
53,Rakesh,2019/05/12,it dept,50000.0
131,Rakesh,2022-06-01,finance,45000.0
244,Kiran,04-Jun-2019,Hr,750000.0
233,Anita,17-Jun-2023,finance,
199,Arun,2018-16-10,FInance,70000.0
321,nan,10/01/2018,it,750000.0
6,Meera,06-20-2022,Hr,45000.0
76,Arun,2022-03-11,Finance,100000.0
300,Anita,2023-04-10,finance,750000.0
321,Arun,20/07/2021,IT,60000.0
148,Sunil,2019/03/10,finance,60000.0
148,Sunil,2023-12-14,IT,100000.0
308,nan,2018-25-04,FInance,45000.0
146,Divya,2021-04-16,it,-20000.0
57,Rahul,2020-02-06,finance,-20000.0
85,Rakesh,18/02/2020,HR,-20000.0
358,Sunil,2021/10/19,IT,60000.0
20,Divya,2022/11/21,IT,60000.0
41,Divya,2020-05-01,FInance,
254,nan,2019/04/29,it dept,45000.0
50,Sunil,01-21-2020,Finance,60000.0
377,Meera,07-16-2022,Hr,60000.0
364,Arun,12/01/2020,Finance,100000.0
245,Meera,16/09/2020,I.T,750000.0
346,Rakesh,2019-14-04,it dept,60000.0
